547 qid:1 1:0.318181818182 2:0.125 3:-2 4:4.5 5:0 6:69 7:0.5 8:3.0 9:0 
572 qid:1 1:0.363636363636 2:1.0 3:-3 4:1.0 5:2 6:67 7:1.5 8:0.333333333333 9:0.333333333333 
636 qid:1 1:0.5 2:0.125 3:-4 4:2.5 5:3 6:64 7:0.5 8:2.0 9:3.0 
661 qid:1 1:0.545454545455 2:0.5 3:12 4:3.0 5:4 6:60 7:1.0 8:0.5 9:0.5 
712 qid:1 1:0.636363636364 2:0.25 3:-2 4:4.0 5:-12 6:72 7:0.5 8:1.0 9:2.0 
733 qid:1 1:0.681818181818 2:0.125 3:4 4:4.5 5:2 6:70 7:0.5 8:1.0 9:1.0 
750 qid:1 1:0.727272727273 2:1.0 3:-2 4:1.0 5:-4 6:74 7:0.5 8:1.0 9:1.0 
776 qid:1 1:0.772727272727 2:0.125 3:0 4:1.5 5:2 6:72 7:0.5 8:1.0 9:1.0 
801 qid:1 1:0.818181818182 2:0.25 3:-3 4:2.0 5:0 6:72 7:0.5 8:1.0 9:1.0 
826 qid:1 1:0.863636363636 2:0.125 3:-2 4:2.5 5:3 6:69 7:0.5 8:2.0 9:1.0 
852 qid:1 1:0.909090909091 2:0.5 3:0 4:3.0 5:2 6:67 7:1.0 8:0 9:0.5 
547 qid:2 1:0.318181818182 2:0.125 3:-2 4:4.5 5:0 6:69 7:0.5 8:3.0 9:0 
572 qid:2 1:0.363636363636 2:1.0 3:-3 4:1.0 5:2 6:67 7:1.5 8:0.333333333333 9:0.333333333333 
636 qid:2 1:0.5 2:0.125 3:-4 4:2.5 5:3 6:64 7:0.5 8:2.0 9:3.0 
661 qid:2 1:0.545454545455 2:0.5 3:2 4:3.0 5:4 6:60 7:1.0 8:0.5 9:0.5 
699 qid:2 1:0.636363636364 2:0.25 3:2 4:4.0 5:-2 6:62 7:0.5 8:1.0 9:2.0 
725 qid:2 1:0.681818181818 2:0.125 3:0 4:4.5 5:-2 6:64 7:0.5 8:1.0 9:1.0 
750 qid:2 1:0.727272727273 2:1.0 3:-2 4:1.0 5:0 6:64 7:0.5 8:1.0 9:1.0 
767 qid:2 1:0.772727272727 2:0.125 3:0 4:1.5 5:2 6:62 7:0.5 8:1.0 9:1.0 
801 qid:2 1:0.818181818182 2:0.25 3:-2 4:2.0 5:0 6:62 7:0.5 8:1.0 9:1.0 
826 qid:2 1:0.863636363636 2:0.125 3:2 4:2.5 5:2 6:60 7:0.5 8:2.0 9:1.0 
852 qid:2 1:0.909090909091 2:0.5 3:0 4:3.0 5:-2 6:62 7:1.0 8:0 9:0.5 
509 qid:3 1:0.184210526316 2:0.125 3:2 4:4.5 5:0 6:62 7:0.5 8:2.0 9:0 
534 qid:3 1:0.210526315789 2:1.0 3:-2 4:1.0 5:-2 6:64 7:1.0 8:0.75 9:0.5 
581 qid:3 1:0.263157894737 2:0.25 3:2 4:2.0 5:2 6:62 7:0.75 8:0.333333333333 9:1.33333333333 
610 qid:3 1:0.302631578947 2:0.0625 3:1 4:2.75 5:-2 6:64 7:0.25 8:4.0 9:3.0 
623 qid:3 1:0.315789473684 2:0.5 3:-1 4:3.0 5:-1 6:65 7:1.0 8:0.5 9:0.25 
674 qid:3 1:0.368421052632 2:0.25 3:1 4:4.0 5:1 6:64 7:0.5 8:1.0 9:2.0 
699 qid:3 1:0.394736842105 2:0.125 3:2 4:4.5 5:-1 6:65 7:0.5 8:1.0 9:1.0 
