420 qid:1 1:0.157894736842 2:0.125 3:-7 4:2.5 5:0 6:69 7:0.5 8:1.0 9:0 
696 qid:1 1:0.210526315789 2:0.5 3:0 4:3.0 5:7 6:62 7:0.5 8:1.0 9:1.0 
696 qid:1 1:0.263157894737 2:0.125 3:2 4:3.5 5:0 6:62 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.315789473684 2:0.25 3:0 4:4.0 5:-2 6:64 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.368421052632 2:0.125 3:2 4:4.5 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.421052631579 2:1.0 3:3 4:1.0 5:-2 6:66 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.473684210526 2:0.25 3:5 4:1.5 5:-3 6:69 7:0.5 8:1.5 9:1.0 
696 qid:1 1:0.526315789474 2:0.5 3:-3 4:2.0 5:-5 6:74 7:0.75 8:0.333333333333 9:0.666666666667 
696 qid:1 1:0.605263157895 2:0.125 3:-2 4:2.75 5:3 6:71 7:0.25 8:2.0 9:3.0 
696 qid:1 1:0.631578947368 2:1.0 3:-5 4:1.0 5:2 6:69 7:0.5 8:1.0 9:0.5 
420 qid:1 1:0.684210526316 2:0.25 3:0 4:1.5 5:5 6:64 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.736842105263 2:0.5 3:5 4:2.0 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.789473684211 2:0.25 3:-3 4:2.5 5:-5 6:69 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.842105263158 2:1.0 3:-2 4:1.0 5:3 6:66 7:0.5 8:1.0 9:1.0 
420 qid:1 1:0.894736842105 2:0.25 3:-2 4:1.5 5:2 6:64 7:0.5 8:1.0 9:1.0 
972 qid:1 1:0.947368421053 2:0.5 3:0 4:2.0 5:2 6:62 7:0.5 8:0 9:1.0 
696 qid:2 1:0.194444444444 2:0.0625 3:-7 4:2.75 5:0 6:69 7:0.25 8:2.0 9:0 
696 qid:2 1:0.222222222222 2:0.5 3:0 4:3.0 5:7 6:62 7:0.5 8:1.0 9:0.5 
972 qid:2 1:0.277777777778 2:0.125 3:2 4:3.5 5:0 6:62 7:0.5 8:1.0 9:1.0 
696 qid:2 1:0.333333333333 2:0.25 3:0 4:4.0 5:-2 6:64 7:0.5 8:1.0 9:1.0 
420 qid:2 1:0.388888888889 2:0.125 3:2 4:4.5 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:2 1:0.444444444444 2:1.0 3:3 4:1.0 5:-2 6:66 7:0.5 8:1.0 9:1.0 
420 qid:2 1:0.5 2:0.125 3:5 4:1.5 5:-3 6:69 7:0.5 8:1.5 9:1.0 
696 qid:2 1:0.555555555556 2:0.25 3:-3 4:2.0 5:-5 6:74 7:0.75 8:0.333333333333 9:0.666666666667 
696 qid:2 1:0.638888888889 2:0.0625 3:-2 4:2.75 5:3 6:71 7:0.25 8:4.0 9:3.0 
696 qid:2 1:0.666666666667 2:0.5 3:-5 4:3.0 5:2 6:69 7:1.0 8:0.75 9:0.25 
635 qid:2 1:0.777777777778 2:0.25 3:5 4:4.0 5:5 6:64 7:0.75 8:0.333333333333 9:1.33333333333 
696 qid:2 1:0.861111111111 2:0.0625 3:-3 4:4.75 5:-5 6:69 7:0.25 8:2.0 9:3.0 
420 qid:2 1:0.888888888889 2:1.0 3:-4 4:1.0 5:3 6:66 7:0.5 8:1.0 9:0.5 
972 qid:2 1:0.944444444444 2:0.125 3:0 4:1.5 5:4 6:62 7:0.5 8:0 9:1.0 
420 qid:3 1:0.157894736842 2:0.125 3:0 4:2.5 5:0 6:69 7:0.5 8:1.0 9:0 
420 qid:3 1:0.210526315789 2:0.5 3:7 4:3.0 5:0 6:69 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.263157894737 2:0.125 3:-2 4:3.5 5:-7 6:76 7:0.5 8:1.0 9:1.0 
696 qid:3 1:0.315789473684 2:0.25 3:-1 4:4.0 5:2 6:74 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.368421052632 2:0.125 3:1 4:4.5 5:1 6:73 7:0.5 8:1.0 9:1.0 
696 qid:3 1:0.421052631579 2:1.0 3:-5 4:1.0 5:-1 6:74 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.473684210526 2:0.125 3:0 4:1.5 5:5 6:69 7:0.5 8:1.0 9:1.0 
880 qid:3 1:0.526315789474 2:0.25 3:0 4:2.0 5:0 6:69 7:0.5 8:0.5 9:1.0 
696 qid:3 1:0.605263157895 2:0.0625 3:5 4:2.75 5:0 6:69 7:0.25 8:2.0 9:2.0 
696 qid:3 1:0.631578947368 2:0.5 3:-5 4:3.0 5:-5 6:74 7:0.5 8:1.0 9:0.5 
420 qid:3 1:0.684210526316 2:0.125 3:-2 4:3.5 5:5 6:69 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.736842105263 2:0.25 3:-1 4:4.0 5:2 6:67 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.789473684211 2:0.125 3:0 4:4.5 5:1 6:66 7:0.5 8:1.0 9:1.0 
696 qid:3 1:0.842105263158 2:1.0 3:-2 4:1.0 5:0 6:66 7:0.5 8:1.0 9:1.0 
420 qid:3 1:0.894736842105 2:0.125 3:0 4:1.5 5:2 6:64 7:0.5 8:1.0 9:1.0 
696 qid:3 1:0.947368421053 2:0.25 3:0 4:2.0 5:0 6:64 7:0.5 8:0 9:1.0 
420 qid:4 1:0.166666666667 2:0.125 3:-7 4:2.5 5:0 6:69 7:0.5 8:1.0 9:0 
420 qid:4 1:0.222222222222 2:0.5 3:0 4:3.0 5:7 6:62 7:0.5 8:1.0 9:1.0 
420 qid:4 1:0.277777777778 2:0.125 3:2 4:3.5 5:0 6:62 7:0.5 8:1.0 9:1.0 
420 qid:4 1:0.333333333333 2:0.25 3:0 4:4.0 5:-2 6:64 7:0.5 8:1.0 9:1.0 
420 qid:4 1:0.388888888889 2:0.125 3:2 4:4.5 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:4 1:0.444444444444 2:1.0 3:3 4:1.0 5:-2 6:66 7:0.5 8:1.0 9:1.0 
420 qid:4 1:0.5 2:0.125 3:5 4:1.5 5:-3 6:69 7:0.5 8:1.0 9:1.0 
1025 qid:4 1:0.555555555556 2:0.25 3:-3 4:2.0 5:-5 6:74 7:0.5 8:0.5 9:1.0 
696 qid:4 1:0.638888888889 2:0.0625 3:-2 4:2.75 5:3 6:71 7:0.25 8:4.0 9:2.0 
282 qid:4 1:0.666666666667 2:0.5 3:-5 4:3.0 5:2 6:69 7:1.0 8:0.75 9:0.25 
880 qid:4 1:0.777777777778 2:0.25 3:5 4:4.0 5:5 6:64 7:0.75 8:0.333333333333 9:1.33333333333 
696 qid:4 1:0.861111111111 2:0.0625 3:-3 4:4.75 5:-5 6:69 7:0.25 8:2.0 9:3.0 
420 qid:4 1:0.888888888889 2:1.0 3:-4 4:1.0 5:3 6:66 7:0.5 8:1.0 9:0.5 
972 qid:4 1:0.944444444444 2:0.125 3:0 4:1.5 5:4 6:62 7:0.5 8:0 9:1.0 
558 qid:5 1:0.0 2:1.0 3:-5 4:1.0 5:0 6:74 7:1.0 8:0.75 9:0 
635 qid:5 1:0.142857142857 2:0.25 3:0 4:2.0 5:5 6:69 7:0.75 8:0.333333333333 9:1.33333333333 
696 qid:5 1:0.25 2:0.0625 3:2 4:2.75 5:0 6:69 7:0.25 8:2.0 9:3.0 
420 qid:5 1:0.285714285714 2:0.5 3:-2 4:3.0 5:-2 6:71 7:0.5 8:1.0 9:0.5 
420 qid:5 1:0.357142857143 2:0.125 3:0 4:3.5 5:2 6:69 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.5 2:0.125 3:5 4:4.5 5:0 6:69 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.571428571429 2:1.0 3:-5 4:1.0 5:-5 6:74 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.642857142857 2:0.125 3:-2 4:1.5 5:5 6:69 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.714285714286 2:0.25 3:-1 4:2.0 5:2 6:67 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.785714285714 2:0.125 3:0 4:2.5 5:1 6:66 7:0.5 8:1.0 9:1.0 
420 qid:5 1:0.857142857143 2:0.5 3:-2 4:3.0 5:0 6:66 7:0.5 8:1.0 9:1.0 
880 qid:5 1:0.928571428571 2:0.125 3:0 4:3.5 5:2 6:64 7:0.5 8:0 9:1.0 
420 qid:6 1:0.166666666667 2:0.125 3:0 4:2.5 5:0 6:62 7:0.5 8:1.0 9:0 
420 qid:6 1:0.222222222222 2:0.5 3:0 4:3.0 5:0 6:62 7:0.5 8:1.0 9:1.0 
420 qid:6 1:0.277777777778 2:0.125 3:2 4:3.5 5:0 6:62 7:0.5 8:1.0 9:1.0 
420 qid:6 1:0.333333333333 2:0.25 3:0 4:4.0 5:-2 6:64 7:0.5 8:1.0 9:1.0 
420 qid:6 1:0.388888888889 2:0.125 3:2 4:4.5 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:6 1:0.444444444444 2:1.0 3:3 4:1.0 5:-2 6:66 7:0.5 8:1.0 9:1.0 
420 qid:6 1:0.5 2:0.125 3:5 4:1.5 5:-3 6:69 7:0.5 8:1.5 9:1.0 
696 qid:6 1:0.555555555556 2:0.25 3:-3 4:2.0 5:-5 6:74 7:0.75 8:0.333333333333 9:0.666666666667 
696 qid:6 1:0.638888888889 2:0.0625 3:-2 4:2.75 5:3 6:71 7:0.25 8:4.0 9:3.0 
282 qid:6 1:0.666666666667 2:0.5 3:-5 4:3.0 5:2 6:69 7:1.0 8:0.75 9:0.25 
635 qid:6 1:0.777777777778 2:0.25 3:5 4:4.0 5:5 6:64 7:0.75 8:0.333333333333 9:1.33333333333 
696 qid:6 1:0.861111111111 2:0.0625 3:-3 4:4.75 5:-5 6:69 7:0.25 8:2.0 9:3.0 
420 qid:6 1:0.888888888889 2:1.0 3:-4 4:1.0 5:3 6:66 7:0.5 8:1.0 9:0.5 
420 qid:6 1:0.944444444444 2:0.125 3:0 4:1.5 5:4 6:62 7:0.5 8:0 9:1.0 
144 qid:7 1:0.318181818182 2:0.125 3:-2 4:4.5 5:0 6:69 7:0.5 8:3.0 9:0 
604 qid:7 1:0.363636363636 2:1.0 3:-3 4:1.0 5:2 6:67 7:1.5 8:0.333333333333 9:0.333333333333 
420 qid:7 1:0.5 2:0.125 3:-4 4:2.5 5:3 6:64 7:0.5 8:2.0 9:3.0 
558 qid:7 1:0.545454545455 2:0.5 3:12 4:3.0 5:4 6:60 7:1.0 8:0.5 9:0.5 
420 qid:7 1:0.636363636364 2:0.25 3:-2 4:4.0 5:-12 6:72 7:0.5 8:1.0 9:2.0 
420 qid:7 1:0.681818181818 2:0.125 3:4 4:4.5 5:2 6:70 7:0.5 8:1.0 9:1.0 
420 qid:7 1:0.727272727273 2:1.0 3:-2 4:1.0 5:-4 6:74 7:0.5 8:1.0 9:1.0 
420 qid:7 1:0.772727272727 2:0.125 3:0 4:1.5 5:2 6:72 7:0.5 8:1.0 9:1.0 
420 qid:7 1:0.818181818182 2:0.25 3:-3 4:2.0 5:0 6:72 7:0.5 8:1.0 9:1.0 
420 qid:7 1:0.863636363636 2:0.125 3:-2 4:2.5 5:3 6:69 7:0.5 8:2.0 9:1.0 
696 qid:7 1:0.909090909091 2:0.5 3:0 4:3.0 5:2 6:67 7:1.0 8:0 9:0.5 
420 qid:8 1:0.318181818182 2:0.125 3:-2 4:4.5 5:0 6:69 7:0.5 8:3.0 9:0 
604 qid:8 1:0.363636363636 2:1.0 3:-3 4:1.0 5:2 6:67 7:1.5 8:0.333333333333 9:0.333333333333 
420 qid:8 1:0.5 2:0.125 3:-4 4:2.5 5:3 6:64 7:0.5 8:2.0 9:3.0 
512 qid:8 1:0.545454545455 2:0.5 3:2 4:3.0 5:4 6:60 7:1.0 8:0.5 9:0.5 
420 qid:8 1:0.636363636364 2:0.25 3:2 4:4.0 5:-2 6:62 7:0.5 8:1.0 9:2.0 
420 qid:8 1:0.681818181818 2:0.125 3:0 4:4.5 5:-2 6:64 7:0.5 8:1.0 9:1.0 
696 qid:8 1:0.727272727273 2:1.0 3:-2 4:1.0 5:0 6:64 7:0.5 8:1.0 9:1.0 
420 qid:8 1:0.772727272727 2:0.125 3:0 4:1.5 5:2 6:62 7:0.5 8:1.0 9:1.0 
420 qid:8 1:0.818181818182 2:0.25 3:-2 4:2.0 5:0 6:62 7:0.5 8:1.0 9:1.0 
420 qid:8 1:0.863636363636 2:0.125 3:2 4:2.5 5:2 6:60 7:0.5 8:2.0 9:1.0 
696 qid:8 1:0.909090909091 2:0.5 3:0 4:3.0 5:-2 6:62 7:1.0 8:0 9:0.5 
420 qid:9 1:0.184210526316 2:0.125 3:2 4:4.5 5:0 6:62 7:0.5 8:2.0 9:0 
420 qid:9 1:0.210526315789 2:1.0 3:-2 4:1.0 5:-2 6:64 7:1.0 8:0.75 9:0.5 
512 qid:9 1:0.263157894737 2:0.25 3:2 4:2.0 5:2 6:62 7:0.75 8:0.333333333333 9:1.33333333333 
696 qid:9 1:0.302631578947 2:0.0625 3:1 4:2.75 5:-2 6:64 7:0.25 8:4.0 9:3.0 
558 qid:9 1:0.315789473684 2:0.5 3:-1 4:3.0 5:-1 6:65 7:1.0 8:0.5 9:0.25 
420 qid:9 1:0.368421052632 2:0.25 3:1 4:4.0 5:1 6:64 7:0.5 8:1.0 9:2.0 
420 qid:9 1:0.394736842105 2:0.125 3:2 4:4.5 5:-1 6:65 7:0.5 8:1.0 9:1.0 
420 qid:9 1:0.421052631579 2:1.0 3:0 4:1.0 5:-2 6:67 7:0.5 8:1.0 9:1.0 
420 qid:9 1:0.447368421053 2:0.125 3:9 4:1.5 5:0 6:67 7:0.5 8:1.5 9:1.0 
635 qid:9 1:0.473684210526 2:0.25 3:-2 4:2.0 5:-9 6:76 7:0.75 8:0.333333333333 9:0.666666666667 
696 qid:9 1:0.513157894737 2:0.0625 3:-2 4:2.75 5:2 6:74 7:0.25 8:4.0 9:3.0 
